product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
WellMix Protein Deluxe Strawberry,N/A,360.0,37.8,12.0,33.3,,,
Protein bar double chocolate,N/A,366.0,39.0,5.3,38.0,,,
Sport & fit line protein gusto dark chocolate,N/A,391.0,35.0,12.0,37.0,,,
Protein bar,N/A,378.8,26.2000007629,19.8999996185,41.2,,,
Mint protein bar,N/A,353.0,37.6,13.3,19.1,,,
Protein bzr,N/A,415.0,25.0,14.0,50.0,,,
ProteinBar Kokos,"Milchelweiß, Kollagenhydrolysat, Vollmilchschokolade mit Süßungsmittel (19% ) ( Süßungsmittel Maltit, Kakaobutter**, Vollmilchpulver, Kakaomasse**, Emulgator Lecithine (Soja), Vanille-Extrakt), Feuchthaltemittel Glycerin, Wasser, Palmfett, Rapsöl, Aroma, Speisesalz, Süßungsmittel Sucralose. **Rainforest Alliance-zertifiziert. ra.org. Kann Spuren von Glutenhaltigem Getreide, Schalenfrüchten, Eiern und Erdnüssen enthalten. *hoher Proteingehalt. Zuckerarm.",377.0,50.0,13.0,23.0,en:soybeans,,
,"Milcheiweiß, Ko Vollmilchschokolade mit Süßungsmittel (19%) (Süßungsmittel Maltit, Kakaobutter**, Vollmilchpulver, Kakaomasse**, Emulgator Vanille-Extrakt), Feuchthaltemittel Glycerin, Wasser, Kakao-Soja-Crispies (5,1%) (Sojaeiweiß, Kakaopulver**, Tapiokastärke), Palmfett, Rapsöl, Aroma, Speisesalz. **Rainforest Alliance-zertifiziert. ra.org. Kann Spuren von Schalenfrüchten, Eiern, Glutenhaltigem Getreide und Erdnüssen enthalten. *hoher Proteingehalt Zuckerarm. COOKIES & CREAM - GESCHMACK Kann bei übermäßigem Verzehr abführend wirken. Vor Wärme schützen und trocken lagern. Ungeöffnet",376.0,50.0,13.0,24.0,,,
Vitamin & Protein Bar,N/A,338.0,34.4,11.4,35.1,,,
Original Protein Energy Bar,"Proto whey protein blend (micro peptides from high-dh hydrolyzed whey protein [40% di and tripeptides], whey protein isolate, milk protein isolate), palm oil, enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, palm kernel oil, cocoa processed with alkali, fructose, natural flavors, soy lecithin, salt, baking soda, ammonium bicarbonate, stevia leaf extract.",512.0,32.5,32.5,25.0,,,
